宝の持ち腐れ	たからのもちぐされ
立つ鳥跡を濁さず	たつとりあとをにごさず
棚から牡丹餅	たなからぼたもち
旅は道連れ世は情け	たびはみちづれよはなさけ
玉に瑕	たまにきず
短気は損気	たんきはそんき
塵も積もれば山となる	ちりもつもればやまとなる
月に叢雲花に風	つきにむらくもはなにかぜ
爪の垢を煎じて飲む	つめのあかをせんじてのむ
敵は本能寺にあり	てきはほんのうじにあり
鉄は熱いうちに打て	てつはあついうちにうて
隣の芝生は青い	となりのしばふはあおい
毒を食らわば皿まで	どくをくらわばさらまで
出る杭は打たれる	でるくいはうたれる
灯台下暗し	とうだいもとくらし
遠くの親類より近くの他人	とおくのしんるいよりちかくのたにん
時は金なり	ときはかねなり
飛ぶ鳥を落とす	とぶとりをおとす
捕らぬ狸の皮算用	とらぬたぬきのかわざんよう
どんぐりの背比べ	どんぐりのせくらべ
