圧巻	あっかん
王道	おうどう
温故知新	おんこちしん
画竜点睛	がりょうてんせい
完璧	かんぺき
杞憂	きゆう
玉石混淆	ぎょくせきこんこう
呉越同舟	ごえつどうしゅう
国士無双	こくしむそう
五十歩百歩	ごじっぽひゃっぽ
五里霧中	ごりむちゅう
四面楚歌	しめんそか
推敲	すいこう
杜撰	ずさん
切磋琢磨	せっさたくま
千里眼	せんりがん
蛇足	だそく
朝三暮四	ちょうさんぼし
天衣無縫	てんいむほう
桃源	とうげん
登竜門	とうりゅうもん
白眉	はくび
破天荒	はてんこう
矛盾	むじゅん
