アルジェリア
アンゴラ
ウガンダ
エジプト
エスワティニ
エチオピア
エリトリア
ガーナ
カーボベルデ
ガボン
カメルーン
ガンビア
ギニア
ギニアビサウ
ケニア
コートジボワール
コモロ
コンゴ共和国	コンゴきょうわこく
コンゴ民主共和国	コンゴみんしゅきょうわこく
サントメ・プリンシペ
ザンビア
シエラレオネ
ジブチ
ジンバブエ
スーダン
セーシェル
赤道ギニア	せきどうギニア
セネガル
ソマリア
タンザニア
チャド
中央アフリカ	ちゅうおうアフリカ
チュニジア
トーゴ
ナイジェリア
ナミビア
ニジェール
ブルキナファソ
ブルンジ
ベナン
ボツワナ
マダガスカル
マラウイ
マリ
南アフリカ共和国	みなみアフリカきょうわこく
南スーダン	みなみスーダン
モーリシャス
モーリタニア
モザンビーク
モロッコ
リビア
リベリア
ルワンダ
レソト
