海豹	あざらし
海驢	あしか
鼬	いたち
猪	いのしし
膃肭臍	おっとせい
獺	かわうそ
河馬	かば
麒麟	きりん
蝙蝠	こうもり
犀	さい
馴鹿	となかい
獏	ばく
羆	ひぐま
鼠	ねずみ
土竜	もぐら
山羊	やぎ
騾馬	らば
栗鼠	りす
驢馬	ろば
鰐	わに
